文字    頻度    割合(%)
い      1170    6.24
ん      1149    6.13
う      990     5.28
し      796     4.24
の      757     4.04
か      663     3.54
た      564     3.01
き      558     2.98
く      552     2.94
な      467     2.49
と      385     2.05
ょ      378     2.02
こ      374     1.99
り      365     1.95
っ      360     1.92
に      348     1.86
じ      334     1.78
ま      316     1.68
つ      306     1.63
ら      301     1.60
さ      296     1.58
は      292     1.56
る      292     1.56
お      278     1.48
ち      278     1.48
あ      277     1.48
す      262     1.40
れ      254     1.35
が      246     1.31
て      242     1.29
せ      232     1.24
み      230     1.23
も      224     1.19
け      216     1.15
ゅ      203     1.08
め      189     1.01
で      181     0.97
だ      179     0.95
ど      178     0.95
ば      166     0.89
わ      165     0.88
え      160     0.85
ゃ      160     0.85
や      145     0.77
ろ      139     0.74
ひ      127     0.68
そ      123     0.66
ふ      118     0.63
ぎ      111     0.59
ぶ      109     0.58
を      108     0.58
よ      108     0.58
び      108     0.58
む      107     0.57
ほ      101     0.54
ね      100     0.53
ご      89      0.47
げ      86      0.46
ぼ      76      0.41
ぐ      75      0.40
ざ      65      0.35
ゆ      64      0.34
ず      59      0.31
ぱ      58      0.31
ぷ      53      0.28
べ      51      0.27
ぜ      46      0.25
ぴ      31      0.17
ぽ      30      0.16
ぞ      28      0.15
へ      24      0.13
ぬ      23      0.12
ぃ      21      0.11
ぺ      18      0.10
づ      11      0.06
ぇ      7       0.04
ボ      1       0.01
タ      1       0.01
ン      1       0.01
