文字    頻度    割合(%)
い      1170    6.13
ん      1149    6.02
う      990     5.19
し      796     4.17
の      757     3.97
か      663     3.47
た      564     2.96
き      558     2.92
く      552     2.89
な      467     2.45
と      385     2.02
ょ      378     1.98
こ      374     1.96
り      365     1.91
っ      360     1.89
に      348     1.82
じ      334     1.75
ー      325     1.70
ま      316     1.66
つ      306     1.60
ら      301     1.58
さ      296     1.55
は      292     1.53
る      292     1.53
お      278     1.46
ち      278     1.46
あ      277     1.45
す      262     1.37
れ      254     1.33
が      246     1.29
て      242     1.27
せ      232     1.22
み      230     1.21
も      224     1.17
け      216     1.13
ゅ      203     1.06
め      189     0.99
で      181     0.95
だ      179     0.94
ど      178     0.93
ば      166     0.87
わ      165     0.86
え      160     0.84
ゃ      160     0.84
や      145     0.76
ろ      139     0.73
ひ      127     0.67
そ      123     0.64
ふ      118     0.62
ぎ      111     0.58
ぶ      109     0.57
を      108     0.57
よ      108     0.57
び      108     0.57
む      107     0.56
ほ      101     0.53
ね      100     0.52
ご      89      0.47
げ      86      0.45
ぼ      76      0.40
ぐ      75      0.39
ざ      65      0.34
ゆ      64      0.34
ず      59      0.31
ぱ      58      0.30
ぷ      53      0.28
べ      51      0.27
ぜ      46      0.24
ぴ      31      0.16
ぽ      30      0.16
ぞ      28      0.15
へ      24      0.13
ぬ      23      0.12
ぃ      21      0.11
ぺ      18      0.09
づ      11      0.06
ぇ      7       0.04
。      1       0.01
